park_id,park_name,polygon_id,polygon_label,total_score,name_score,spatial_score,distance_m,candidate_count,second_score,score_margin,status
1,남산공원,생활서비스시설_공원_0012,도시자연공원(남산),350.0,150.0,200,0.0,15,70.0,280.0,high
2,길동생태공원,생활서비스시설_공원_0016,도시자연공원((일자산)<길동생태공원>),330.0,130.0,200,0.0,22,150.0,180.0,high
3,서울대공원,생활서비스시설_공원_0041,근린공원(서울대공원),350.0,150.0,200,0.0,2,130.0,220.0,high
4,서울숲,생활서비스시설_공원_0035,근린공원(서울숲),350.0,150.0,200,0.0,33,300.0,50.0,high
5,월드컵공원,생활서비스시설_공원_0038,근린공원(월드컵),350.0,150.0,200,0.0,4,270.0,80.0,high
6,광화문시민열린마당,생활서비스시설_공원_0010,광장(광화문열린마당),277.78,77.78,200,0.0,42,92.5,185.28,high
7,진관근린공원(구파발폭포),생활서비스시설_공원_0778,마을마당(쌈지마당),0.0,0.0,0,1087.78,7,0.0,0.0,unmatched
8,중마루근린공원,생활서비스시설_공원_0014,근린공원(중마루),350.0,150.0,200,0.0,22,60.0,290.0,high
9,응봉공원 (대현산배수지공원),생활서비스시설_공원_0022,근린공원((응봉)),330.0,130.0,200,0.0,39,116.36,213.64,high
10,매화근린공원,생활서비스시설_공원_0013,근린공원(매화),350.0,150.0,200,0.0,35,80.0,270.0,high
11,성수근린공원,생활서비스시설_공원_0019,근린공원(성수),350.0,150.0,200,0.0,28,150.0,200.0,high
12,샛마을근린공원,생활서비스시설_공원_0024,근린공원(샛마을),350.0,150.0,200,0.0,41,230.0,120.0,high
13,여의도근린공원,생활서비스시설_공원_0008,근린공원(여의도),350.0,150.0,200,0.0,11,150.0,200.0,high
14,간데메근린공원,생활서비스시설_공원_0020,근린공원(간데메),350.0,150.0,200,0.0,25,80.0,270.0,high
15,훈련원근린공원,생활서비스시설_공원_0039,근린공원(훈련원),350.0,150.0,200,0.0,31,50.0,300.0,high
16,영등포근린공원,생활서비스시설_공원_0017,근린공원(영등포),350.0,150.0,200,0.0,23,150.0,200.0,high
17,보라매공원,생활서비스시설_공원_1879,근린공원(보라매),350.0,150.0,200,0.0,34,350.0,0.0,review
